"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"SAS","Washington Dulles International Airport","YYZ","2023-06-05 18:50",10,9,"International"
"Delta Air Lines","La Guardia Airport","YYZ","2023-06-05 18:50",37,20,"International"
"Air Canada","North Bay/Jack Garland Airport","YYZ","2023-06-05 16:30",2,179,"Domestic"
"Air Canada","Orlando International Airport","YYZ","2023-06-05 18:50",9,179,"International"
"Sunwing Airlines","Jardines del Rey Airport","YYZ","2023-06-05 18:50",2,11,"International"
"Air Canada","San Francisco International Airport","YYZ","2023-06-05 18:55",8,179,"International"
"Austrian","Denver International Airport","YYZ","2023-06-05 18:55",7,17,"International"
"Air Canada","Detroit Metropolitan Wayne County Airport","YYZ","2023-06-05 19:00",11,179,"International"
"LOT - Polish Airlines","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 19:00",39,2,"Domestic"
"Avianca","Vancouver International Airport","YYZ","2023-06-05 19:00",38,14,"Domestic"
"Caribbean Airlines","Cheddi Jagan International Airport","YYZ","2023-06-05 19:00",1,2,"International"
"Lufthansa Cargo","Minneapolis-St Paul International Airport","YYZ","2023-06-05 19:05",12,16,"International"
"Lufthansa","Minneapolis-St Paul International Airport","YYZ","2023-06-05 19:05",12,16,"International"
"Lynx Air","Vancouver International Airport","YYZ","2023-06-05 19:05",38,8,"Domestic"
"SkyWest Airlines","Minneapolis-St Paul International Airport","YYZ","2023-06-05 19:09",12,1,"International"
"Air Canada","Newark Liberty International Airport","YYZ","2023-06-05 19:10",27,179,"International"
"United Airlines","John Glenn Columbus International Airport","YYZ","2023-06-05 19:10",4,83,"International"
"Air Canada","Calgary International Airport","YYZ","2023-06-05 19:15",36,179,"Domestic"
"United Airlines","Philadelphia International Airport","YYZ","2023-06-05 19:15",12,83,"International"
"Air Transat","Glasgow International Airport","YYZ","2023-06-05 19:15",2,29,"International"
"Air Transat","London Gatwick Airport","YYZ","2023-06-05 19:15",3,29,"International"
"United Airlines","Cleveland Hopkins International Airport","YYZ","2023-06-05 19:15",5,83,"International"
"American Airlines","Charlotte Douglas International Airport","YYZ","2023-06-05 19:18",8,20,"International"
"Westjet","Vancouver International Airport","YYZ","2023-06-05 19:20",38,50,"Domestic"
"Air Canada","San Diego International Airport","YYZ","2023-06-05 19:20",3,179,"International"
"Air Canada","La Guardia Airport","YYZ","2023-06-05 19:25",37,179,"International"
NA,"La Guardia Airport","YYZ","2023-06-05 19:29",37,2,"International"
"Air Canada","Paris Charles de Gaulle Airport","YYZ","2023-06-05 19:30",5,179,"International"
