"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Avianca","La Aurora International Airport","LAX","2023-06-07 14:45",3,6,"International"
"Delta Air Lines","Hartsfield-Jackson Atlanta International Airport","LAX","2023-06-07 14:45",5,17,"Domestic"
"Brussels Airlines","Frankfurt Airport","LAX","2023-06-07 15:00",4,1,"International"
"Etihad","Leonardo da Vinci-Fiumicino Airport","LAX","2023-06-07 15:10",3,3,"International"
"Air France","Paris Charles de Gaulle Airport","LAX","2023-06-07 15:25",10,13,"International"
"Korean Air","Incheon International Airport","LAX","2023-06-07 15:25",14,7,"International"
"Aeromexico","London Heathrow Airport","LAX","2023-06-07 15:40",21,17,"International"
"American Airlines","London Heathrow Airport","LAX","2023-06-07 15:45",21,38,"International"
"China Airlines","Taiwan Taoyuan International Airport","LAX","2023-06-07 16:20",11,5,"International"
"British Airways","Dallas/Fort Worth International Airport","LAX","2023-06-07 16:30",5,8,"Domestic"
"Qatar Airways","Hamad International Airport","LAX","2023-06-07 16:35",4,4,"International"
"LOT - Polish Airlines","Warsaw Chopin Airport","LAX","2023-06-07 16:35",3,3,"International"
"Emirates","Dubai International Airport","LAX","2023-06-07 16:40",3,3,"International"
"Breeze Airways","Theodore Francis Green State Airport","LAX","2023-06-07 12:15",1,4,"Domestic"
"Breeze Airways","Raleigh-Durham International Airport","LAX","2023-06-07 12:40",4,4,"Domestic"
"Aeromexico","Nashville International Airport","LAX","2023-06-07 16:50",2,17,"Domestic"
"Delta Air Lines","Amsterdam Airport Schiphol","LAX","2023-06-07 16:55",5,17,"International"
"Delta Air Lines","Comodoro Arturo Merino Benitez International Airport","LAX","2023-06-07 17:00",1,17,"International"
"Austrian","Munich International Airport","LAX","2023-06-07 17:10",3,3,"International"
NA,"Guadalajara International Airport","LAX","2023-06-07 17:11",14,23,"International"
"United Airlines","Tokyo International Airport","LAX","2023-06-07 17:15",13,6,"International"
"Finnair","London Heathrow Airport","LAX","2023-06-07 17:05",21,2,"International"
"Singapore Airlines","London Heathrow Airport","LAX","2023-06-07 17:55",21,7,"International"
"Qatar Airways","Adolfo Suarez Madrid-Barajas Airport","LAX","2023-06-07 18:00",2,4,"International"
NA,"Daniel K. Inouye International Airport","LAX","2023-06-07 18:00",13,5,"Domestic"
"Japan Airlines","Austin-Bergstrom International Airport","LAX","2023-06-07 18:03",2,4,"Domestic"
"Iberia","London Heathrow Airport","LAX","2023-06-07 18:13",21,4,"International"
"Japan Airlines","San Antonio International Airport","LAX","2023-06-07 18:15",5,4,"Domestic"
"Delta Air Lines","Paris Charles de Gaulle Airport","LAX","2023-06-07 18:20",10,17,"International"
