"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"IB","IBE","IB4205","IBE4205","4205","LHR","EGLL","3","2023-06-07 12:00","DFW","KDFW",NA,610
"LH","DLH","LH6588","DLH6588","6588","LHR","EGLL","2","2023-06-07 12:05","YYZ","CYYZ",NA,475
"LX","SWR","LX319","SWR319","319","LHR","EGLL","2","2023-06-07 12:05","ZRH","LSZH",NA,100
"QR","QTR","QR5893","QTR5893","5893","LHR","EGLL","5","2023-06-07 12:05","JER","EGJJ",NA,65
"AA","AAL","AA6683","AAL6683","6683","LHR","EGLL","5","2023-06-07 12:05","FCO","LIRF",NA,155
"DL","DAL","DL5965","DAL5965","5965","LHR","EGLL","3","2023-06-07 12:10","SFO","KSFO",NA,660
"QR","QTR","QR5904","QTR5904","5904","LHR","EGLL","5","2023-06-07 12:10","GLA","EGPF",NA,85
"AC","ACA","AC6962","ACA6962","6962","LHR","EGLL","2","2023-06-07 12:10","DUS","EDDL",NA,80
"SQ","SIA","SQ2515","SIA2515","2515","LHR","EGLL","3","2023-06-07 12:10","SEA","KSEA",NA,585
"AA","AAL","AA6855","AAL6855","6855","LHR","EGLL","5","2023-06-07 12:10","ATH","LGAV",NA,230
"OS","AUA","OS7805","AUA7805","7805","LHR","EGLL","2","2023-06-07 12:15","IAD","KIAD",NA,490
"AC","ACA","AC6036","ACA6036","6036","LHR","EGLL","2","2023-06-07 12:15","ATH","LGAV",NA,215
"AA","AAL","AA733","AAL733","733","LHR","EGLL","3","2023-06-07 12:15","CLT","KCLT",NA,526
"AY","FIN","AY5781","FIN5781","5781","LHR","EGLL","3","2023-06-07 12:15","ORD","KORD",NA,530
"AY","FIN","AY5906","FIN5906","5906","LHR","EGLL","5","2023-06-07 12:15","CPH","EKCH",NA,115
"UA","UAL","UA17","UAL17","17","LHR","EGLL","2","2023-06-07 12:00","EWR","KEWR",20,490
"BA","BAW","BA742","BAW742","742","LHR","EGLL","5","2023-06-07 12:20","HER","LGIR",NA,245
"CX","CPA","CX252","CPA252","252","LHR","EGLL","3","2023-06-07 12:20","HKG","VHHH",NA,740
"CZ","CSN","CZ7226","CSN7226","7226","LHR","EGLL","5","2023-06-07 12:25","PVG","ZSPD",NA,750
