"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"MH","MAS","MH9700","MAS9700","9700","LHR","EGLL","5","2023-06-06 13:05","BCN","LEBL",125
"BA","BAW","BA81","BAW81","81","LHR","EGLL","5","2023-06-06 12:45","ACC","DGAA",400
"AA","AAL","AA6994","AAL6994","6994","LHR","EGLL","5","2023-06-06 13:10","JFK","KJFK",470
"LO","LOT","LO4503","LOT4503","4503","LHR","EGLL","2","2023-06-06 13:15","DEL","VIDP",505
"VS","VIR","VS165","VIR165","165","LHR","EGLL","3","2023-06-06 12:45","MBJ","MKJS",585
"AI","AIC","AI128","AIC128","128","LHR","EGLL","2","2023-06-06 12:30","BOM","VABB",530
"AF","AFR","AF9663","AFR9663","9663","LHR","EGLL","3","2023-06-06 13:20","JFK","KJFK",485
"AA","AAL","AA6556","AAL6556","6556","LHR","EGLL","5","2023-06-06 13:20","CDG","LFPG",75
"BA","BAW","BA690","BAW690","690","LHR","EGLL","3","2023-06-06 13:05","LJU","LJLJ",130
"BA","BAW","BA93","BAW93","93","LHR","EGLL","5","2023-06-06 13:15","YYZ","CYYZ",460
"AC","ACA","AC6526","ACA6526","6526","LHR","EGLL","3","2023-06-06 13:00","BEY","OLBA",275
"SV","SVA","SV106","SVA106","106","LHR","EGLL","4","2023-06-06 12:30","RUH","OERK",405
"LX","SWR","LX3120","SWR3120","3120","LHR","EGLL","2","2023-06-06 13:00","EWR","KEWR",490
"IB","IBE","IB7456","IBE7456","7456","LHR","EGLL","5","2023-06-06 13:25","IBZ","LEIB",150
"AC","ACA","AC6921","ACA6921","6921","LHR","EGLL","2","2023-06-06 13:25","DUB","EIDW",85
"MH","MAS","MH9918","MAS9918","9918","LHR","EGLL","3","2023-06-06 12:30","VIE","LOWW",145
"QR","QTR","QR5900","QTR5900","5900","LHR","EGLL","5","2023-06-06 13:30","BHD","EGAC",85
"EI","EIN","EI8807","EIN8807","8807","LHR","EGLL","5","2023-06-06 12:55","DXB","OMDB",430
"BA","BAW","BA1470","BAW1470","1470","LHR","EGLL","5","2023-06-06 13:10","INV","EGPE",100
"JL","JAL","JL7779","JAL7779","7779","LHR","EGLL","5","2023-06-06 13:20","DUS","EDDL",85
"LH","DLH","LH907","DLH907","907","LHR","EGLL","2","2023-06-06 13:30","FRA","EDDF",95
"IB","IBE","IB7590","IBE7590","7590","LHR","EGLL","5","2023-06-06 12:50","GLA","EGPF",85
"AA","AAL","AA6848","AAL6848","6848","LHR","EGLL","5","2023-06-06 13:25","ATH","LGAV",225
"B6","JBU","B65673","JBU5673","5673","LHR","EGLL","2","2023-06-06 13:05","KEF","BIKF",190
"AA","AAL","AA6727","AAL6727","6727","LHR","EGLL","5","2023-06-06 13:30","VCE","LIPZ",140
"AA","AAL","AA6490","AAL6490","6490","LHR","EGLL","5","2023-06-06 12:55","LIS","LPPT",170
"AA","AAL","AA6986","AAL6986","6986","LHR","EGLL","5","2023-06-06 13:50","SAN","KSAN",675
"JU","ASL","JU381","ASL381","381","LHR","EGLL","4","2023-06-06 13:30","BEG","LYBE",160
"AY","FIN","AY5467","FIN5467","5467","LHR","EGLL","5","2023-06-06 13:40","PHL","KPHL",475
"AC","ACA","AC5931","ACA5931","5931","LHR","EGLL","2","2023-06-06 13:40","IAH","KIAH",610
"VS","VIR","VS250","VIR250","250","LHR","EGLL","3","2023-06-06 13:45","PVG","ZSPD",760
"BA","BAW","BA560","BAW560","560","LHR","EGLL","5","2023-06-06 12:20","FCO","LIRF",155
"BA","BAW","BA874","BAW874","874","LHR","EGLL","3","2023-06-06 13:45","BUD","LHBP",155
"AY","FIN","AY5930","FIN5930","5930","LHR","EGLL","5","2023-06-06 13:20","ARN","ESSA",155
"SL","SZS","SL532","SZS532","532","LHR","EGLL","2","2023-06-06 13:55","ARN","ESSA",150
"EI","EIN","EI715","EIN715","715","LHR","EGLL","2","2023-06-06 13:50","ORK","EICK",80
"BA","BAW","BA1530","BAW1530","1530","LHR","EGLL","3","2023-06-06 14:05","DFW","KDFW",610
"A3","AEE","A31603","AEE1603","1603","LHR","EGLL","2","2023-06-06 13:35","MUC","EDDM",110
"IB","IBE","IB7462","IBE7462","7462","LHR","EGLL","5","2023-06-06 13:05","MAD","LEMD",145
"BA","BAW","BA263","BAW263","263","LHR","EGLL","5","2023-06-06 14:05","RUH","OERK",400
"VS","VIR","VS8009","VIR8009","8009","LHR","EGLL","4","2023-06-06 13:55","YYC","CYYC",525
"IB","IBE","IB4669","IBE4669","4669","LHR","EGLL","3","2023-06-06 12:15","CLT","KCLT",526
"QR","QTR","QR9778","QTR9778","9778","LHR","EGLL","5","2023-06-06 13:40","FRA","EDDF",105
"BA","BAW","BA125","BAW125","125","LHR","EGLL","3","2023-06-06 14:00","BAH","OBBI",385
"OS","AUA","OS8239","AUA8239","8239","LHR","EGLL","2","2023-06-06 14:05","YUL","CYUL",430
"LX","SWR","LX333","SWR333","333","LHR","EGLL","2","2023-06-06 13:45","ZRH","LSZH",105
"UA","UAL","UA8203","UAL8203","8203","LHR","EGLL","2","2023-06-06 12:05","YYZ","CYYZ",475
