"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Iberia","Seattle-Tacoma International Airport","LHR","2023-06-08 14:10",26,197,"International"
"Lufthansa Cargo","Vancouver International Airport","LHR","2023-06-08 14:10",14,107,"International"
"Lufthansa","Vancouver International Airport","LHR","2023-06-08 14:10",14,107,"International"
"LATAM Airlines Chile","Aberdeen International Airport","LHR","2023-06-08 14:10",29,28,"Domestic"
"Qatar Airways","Manchester Airport","LHR","2023-06-08 14:10",37,185,"Domestic"
"American Airlines","Marseille Provence Airport","LHR","2023-06-08 14:15",19,717,"International"
"American Airlines","Kempegowda International Airport","LHR","2023-06-08 14:15",7,717,"International"
"American Airlines","Venice Marco Polo Airport","LHR","2023-06-08 14:15",25,717,"International"
"American Airlines","Frankfurt Airport","LHR","2023-06-08 14:15",93,717,"International"
"Malaysia Airlines","Aeroport Geneve-Cointrin","LHR","2023-06-08 14:15",70,75,"International"
"Finnair","Adolfo Suarez Madrid-Barajas Airport","LHR","2023-06-08 14:20",79,146,"International"
"Garuda","Dubai International Airport","LHR","2023-06-08 14:20",60,14,"International"
"British Airways","Perugia San Francesco d'Assisi - Umbria International Airport","LHR","2023-06-08 14:20",2,773,"International"
"British Airways","Dublin Airport","LHR","2023-06-08 14:20",107,773,"International"
"American Airlines","Chicago O'Hare International Airport","LHR","2023-06-08 14:25",49,717,"International"
"United Airlines","Aeroport Geneve-Cointrin","LHR","2023-06-08 14:25",70,98,"International"
