"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Qantas Airways","Chicago O'Hare International Airport","YYZ","2023-06-14 11:35",12,3,"International"
"United Airlines","La Guardia Airport","YYZ","2023-06-14 11:55",19,46,"International"
"Jetstream International Airlines","Charlotte Douglas International Airport","YYZ","2023-06-14 12:00",4,2,"International"
"PSA Airlines, Inc. (US Airways Express)","Charlotte Douglas International Airport","YYZ","2023-06-14 12:00",4,2,"International"
"Turkish Airlines","Nashville International Airport","YYZ","2023-06-14 12:00",3,5,"International"
"Westjet","Vancouver International Airport","YYZ","2023-06-14 12:00",15,24,"Domestic"
"Air Canada","Calgary International Airport","YYZ","2023-06-14 10:15",18,75,"Domestic"
"Endeavor Air","La Guardia Airport","YYZ","2023-06-14 12:00",19,3,"International"
"Air Canada","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-14 12:00",15,75,"Domestic"
"Delta Air Lines","Detroit Metropolitan Wayne County Airport","YYZ","2023-06-14 12:02",5,16,"International"
"Emirates","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-14 12:10",11,10,"Domestic"
"United Airlines","Logan International Airport","YYZ","2023-06-14 12:15",4,46,"International"
"Emirates","Edmonton International Airport","YYZ","2023-06-14 12:15",13,10,"Domestic"
"Air India","Indira Gandhi International Airport","YYZ","2023-06-14 12:15",1,1,"International"
"Emirates","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-14 12:20",12,10,"Domestic"
"Delta Air Lines","Minneapolis-St Paul International Airport","YYZ","2023-06-14 12:25",5,16,"International"
"Jazz Aviation","Chicago O'Hare International Airport","YYZ","2023-06-14 12:30",12,26,"International"
"Kish Air","Orlando International Airport","YYZ","2023-06-14 10:15",3,5,"International"
"United Airlines","Raleigh-Durham International Airport","YYZ","2023-06-14 12:35",3,46,"International"
"Air Canada","St. John's International Airport","YYZ","2023-06-14 12:35",4,75,"Domestic"
"Flair Airlines","Calgary International Airport","YYZ","2023-06-14 12:35",18,9,"Domestic"
"Westjet","Incheon International Airport","YYZ","2023-06-14 12:40",2,24,"International"
"Republic Airline","Newark Liberty International Airport","YYZ","2023-06-14 12:45",12,1,"International"
"Egyptair","Cairo International Airport","YYZ","2023-06-14 12:45",1,5,"International"
"Flair Airlines","Edmonton International Airport","YYZ","2023-06-14 12:45",13,9,"Domestic"
"Jetstream International Airlines","Ronald Reagan Washington National Airport","YYZ","2023-06-14 12:47",4,2,"International"
"PSA Airlines, Inc. (US Airways Express)","Ronald Reagan Washington National Airport","YYZ","2023-06-14 12:47",4,2,"International"
"Austrian","Edmonton International Airport","YYZ","2023-06-14 12:50",13,12,"Domestic"
"Air Canada","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-06-14 12:50",6,75,"International"
"Sunwing Airlines","Cancun International Airport","YYZ","2023-06-14 12:55",5,4,"International"
"All Nippon Airways","Narita International Airport","YYZ","2023-06-14 12:55",1,2,"International"
"Air Canada","Lynden Pindling International Airport","YYZ","2023-06-14 12:55",1,75,"International"
NA,"La Guardia Airport","YYZ","2023-06-14 12:57",19,2,"International"
"Porter Airlines","Vancouver International Airport","YYZ","2023-06-14 13:00",15,3,"Domestic"
"Austrian","Vancouver International Airport","YYZ","2023-06-14 13:05",15,12,"Domestic"
"Air Transat","Calgary International Airport","YYZ","2023-06-14 13:05",18,10,"Domestic"
"Delta Air Lines","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-06-14 13:10",6,16,"International"
"Air Transat","Halifax Stanfield International Airport","YYZ","2023-06-14 13:10",9,10,"Domestic"
"United Airlines","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-14 13:10",11,46,"Domestic"
"Air Transat","Edmonton International Airport","YYZ","2023-06-14 13:15",13,10,"Domestic"
"American Airlines","Chicago O'Hare International Airport","YYZ","2023-06-14 13:15",12,7,"International"
"Air Canada","Cleveland Hopkins International Airport","YYZ","2023-06-14 13:20",3,75,"International"
"Porter Airlines","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-14 13:20",11,3,"Domestic"
"Kish Air","Halifax Stanfield International Airport","YYZ","2023-06-14 13:20",9,5,"Domestic"
"All Nippon Airways","Tokyo International Airport","YYZ","2023-06-14 13:25",1,2,"International"
"GOL Linhas Aereas Inteligentes","Dallas/Fort Worth International Airport","YYZ","2023-06-14 13:27",5,2,"International"
"United Airlines","La Guardia Airport","YYZ","2023-06-14 13:30",19,46,"International"
"Jazz Aviation","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-14 13:30",15,26,"Domestic"
"Delta Air Lines","Calgary International Airport","YYZ","2023-06-14 13:35",18,16,"Domestic"
"Flair Airlines","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-14 13:35",12,9,"Domestic"
"Flair Airlines","Abbotsford Airport","YYZ","2023-06-14 13:40",1,9,"Domestic"
"Swoop","McCarran International Airport","YYZ","2023-06-14 13:45",3,1,"International"
"World Airways","McCarran International Airport","YYZ","2023-06-14 13:45",3,1,"International"
"Emirates","Saskatoon John G. Diefenbaker International Airport","YYZ","2023-06-14 13:50",3,10,"Domestic"
"Lufthansa","Thunder Bay International Airport","YYZ","2023-06-14 13:55",3,8,"Domestic"
"Lufthansa Cargo","Thunder Bay International Airport","YYZ","2023-06-14 13:55",3,8,"Domestic"
NA,"Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-14 13:55",15,1,"Domestic"
"Air Canada Rouge","Louis Armstrong New Orleans International Airport","YYZ","2023-06-14 14:00",1,19,"International"
"Caspian Airlines","Louis Armstrong New Orleans International Airport","YYZ","2023-06-14 14:00",1,19,"International"
"Air Canada Rouge","Punta Cana International Airport","YYZ","2023-06-14 14:00",4,19,"International"
"Caspian Airlines","Punta Cana International Airport","YYZ","2023-06-14 14:00",4,19,"International"
"Air Canada","Newark Liberty International Airport","YYZ","2023-06-14 14:00",12,75,"International"
"Jazz Aviation","Indianapolis International Airport","YYZ","2023-06-14 14:00",2,26,"International"
"Jazz Aviation","Philadelphia International Airport","YYZ","2023-06-14 14:00",6,26,"International"
"Jazz Aviation","Chicago O'Hare International Airport","YYZ","2023-06-14 14:00",12,26,"International"
"United Airlines","Minneapolis-St Paul International Airport","YYZ","2023-06-14 14:00",5,46,"International"
"Qantas Airways","Vancouver International Airport","YYZ","2023-06-14 14:00",15,3,"Domestic"
"Air Canada","Halifax Stanfield International Airport","YYZ","2023-06-14 14:00",9,75,"Domestic"
"Air Canada","Sault Ste. Marie Airport","YYZ","2023-06-14 14:00",1,75,"Domestic"
"United Airlines","Washington Dulles International Airport","YYZ","2023-06-14 14:00",6,46,"International"
"Air Canada","Sudbury Airport","YYZ","2023-06-14 14:00",2,75,"Domestic"
"Austrian","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-14 14:00",15,12,"Domestic"
"Westjet","St. John's International Airport","YYZ","2023-06-14 14:05",4,24,"Domestic"
"Air Canada","Detroit Metropolitan Wayne County Airport","YYZ","2023-06-14 14:05",5,75,"International"
"United Airlines","John Glenn Columbus International Airport","YYZ","2023-06-14 14:15",2,46,"International"
"United Airlines","Baltimore-Washington International Airport","YYZ","2023-06-14 14:15",3,46,"International"
"Delta Air Lines","Edmonton International Airport","YYZ","2023-06-14 14:15",13,16,"Domestic"
"Emirates","Windsor Airport","YYZ","2023-06-14 14:15",3,10,"Domestic"
"Turkish Airlines","Cincinnati/Northern Kentucky International Airport","YYZ","2023-06-14 14:15",2,5,"International"
"Flair Airlines","Fort Lauderdale-Hollywood International Airport","YYZ","2023-06-14 14:25",5,9,"International"
"Air Canada","Incheon International Airport","YYZ","2023-06-14 14:00",2,75,"International"
"Emirates","Regina International Airport","YYZ","2023-06-14 14:25",3,10,"Domestic"
"Westjet","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-14 14:30",12,24,"Domestic"
"Air Canada","La Guardia Airport","YYZ","2023-06-14 14:30",19,75,"International"
"Emirates","Timmins/Victor M. Power Airport","YYZ","2023-06-14 14:30",3,10,"Domestic"
"Emirates","Dubai International Airport","YYZ","2023-06-14 14:30",1,10,"International"
"Air Transat","Fort Lauderdale-Hollywood International Airport","YYZ","2023-06-14 14:30",5,10,"International"
"Air Canada Rouge","Charlottetown Airport","YYZ","2023-06-14 14:35",2,19,"Domestic"
"Caspian Airlines","Charlottetown Airport","YYZ","2023-06-14 14:35",2,19,"Domestic"
"Air Canada Rouge","Fredericton International Airport","YYZ","2023-06-14 14:35",2,19,"Domestic"
"Caspian Airlines","Fredericton International Airport","YYZ","2023-06-14 14:35",2,19,"Domestic"
