"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Air Tahiti Nui","Philadelphia International Airport","LAX","2023-06-06 10:51",2,12,"Domestic"
"Breeze Airways","Jacksonville International Airport","LAX","2023-06-06 12:20",2,6,"Domestic"
"Breeze Airways","Richmond International Airport","LAX","2023-06-06 12:45",2,6,"Domestic"
"ITA Airways","Leonardo da Vinci-Fiumicino Airport","LAX","2023-06-06 15:10",5,3,"International"
"Delta Air Lines","Paris Charles de Gaulle Airport","LAX","2023-06-06 15:25",18,32,"International"
"Delta Air Lines","London Heathrow Airport","LAX","2023-06-06 15:40",38,32,"International"
"American Airlines","London Heathrow Airport","LAX","2023-06-06 15:45",38,69,"International"
"Fiji Airways","Dallas/Fort Worth International Airport","LAX","2023-06-06 16:30",11,3,"Domestic"
"American Airlines","Fa'a'a International Airport","LAX","2023-06-06 16:30",7,69,"International"
"Qatar Airways","Hamad International Airport","LAX","2023-06-06 16:35",7,4,"International"
"Emirates","Dubai International Airport","LAX","2023-06-06 16:40",5,5,"International"
"Delta Air Lines","Nashville International Airport","LAX","2023-06-06 16:50",3,32,"Domestic"
"Virgin Atlantic","Amsterdam Airport Schiphol","LAX","2023-06-06 16:55",8,18,"International"
"Finnair","London Heathrow Airport","LAX","2023-06-06 17:05",38,4,"International"
"Lufthansa Cargo","Munich International Airport","LAX","2023-06-06 17:10",5,5,"International"
"Lufthansa","Munich International Airport","LAX","2023-06-06 17:10",5,5,"International"
NA,"Guadalajara International Airport","LAX","2023-06-06 17:11",24,39,"International"
"All Nippon Airways","Tokyo International Airport","LAX","2023-06-06 17:15",22,10,"International"
"Virgin Atlantic","London Heathrow Airport","LAX","2023-06-06 17:55",38,18,"International"
"Hawaiian Airlines","Daniel K. Inouye International Airport","LAX","2023-06-06 18:00",19,18,"Domestic"
"American Airlines","London Heathrow Airport","LAX","2023-06-06 18:13",38,69,"International"
"American Airlines","San Antonio International Airport","LAX","2023-06-06 18:15",7,69,"Domestic"
"Air France","Paris Charles de Gaulle Airport","LAX","2023-06-06 18:20",18,23,"International"
"Pakistan International Airlines","Istanbul Airport","LAX","2023-06-06 18:35",9,4,"International"
"Aeromexico","Benito Juarez International Airport","LAX","2023-06-06 19:02",23,23,"International"
